zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
94021,0,0,0,,0,,0
94022,783768998.4,4310.544138,181826,86021,95805,529002400,254766598.4
94024,783522732.2,3922.02594,199775,98270,101505,542583100,240939632.2
94025,1179487250,3029.600895,389321,188450,200871,833814200,345673050.1
94027,560986454.1,9022.120878,62179,30715,31464,376384500,184601954.1
94028,307899417.4,5209.804018,59100,29096,30004,219729400,88170017.45
94030,514909207,2541.995779,202561,93830,108731,363107000,151802207
94037,67487341.26,2827.760884,23866,10101,13765,40522800,26964541.26
94038,60083470.7,2845.669731,21114,7773,13341,36593700,23489770.7
94040,730828885.6,2394.291948,305238,128001,177237,483190600,247638285.6
94041,313343382.1,2090.865538,149863,68076,81787,215442600,97900782.14
94043,565677322.3,2137.010341,264705,109047,155658,370766000,194911322.3
94044,831540589.1,2401.679184,346233,163395,182838,593082600,238457989.1
94060,14428515.47,2057.395618,7013,,7013,,14428515.47
94061,799603125.7,2395.369626,333812,159246,174566,556024100,243579025.7
94062,949841463.3,3964.974926,239558,111654,127904,631978100,317863363.3
94063,437272010.4,2071.603572,211079,88943,122136,279265600,158006410.4
94065,269853466.2,2225.503824,121255,54735,66520,173358800,96494666.23
94066,834486341.7,2465.750306,338431,147932,190499,566495500,267990841.7
94070,826091375.9,2745.821481,300854,144632,156222,576726400,249364975.9
94074,0,0,0,,0,,0
94080,1120576374,2259.481663,495944,226569,269375,779636000,340940374.1
94085,371031944.2,2006.413178,184923,72565,112358,235762300,135269644.2
94086,878083070.3,2169.370473,404764,158655,246109,569610500,308472570.3
94087,1219194951,2495.445775,488568,222487,266081,842012900,377182051.2
94089,308796451.4,2844.005704,108578,43733,64845,162661300,146135151.4
94102,462332729.5,2026.637368,228128,70211,157917,312211400,150121329.5
94103,432607709.1,1750.491469,247135,75995,171140,270351100,162256609.1
94104,3055811.084,951.0772126,3213,0,3213,0,3055811.084
94105,139305042,1491.169365,93420,2505,90915,35680200,103624842
94107,452524315.9,1771.534501,255442,72118,183324,260949800,191574515.9
94108,261978313.8,2240.375541,116935,45870,71065,197488600,64489713.85
94109,1416123141,2295.123191,617014,255488,361526,1090697400,325425740.5
94110,1143305584,1825.646404,626247,289403,336844,827145600,316159983.7
94111,18021580.08,1424.180502,12654,0,12654,0,18021580.08
94112,1172127290,2407.71719,486821,240068,246753,832849000,339278289.9
94114,825210045.6,2026.626895,407184,187919,219265,604708000,220502045.6
94115,897649406.6,2558.601189,350836,139843,210993,654472700,243176706.6
94116,803931596,2323.877842,345944,168513,177431,582930600,221000996
94117,906035690.4,2022.942954,447880,206200,241680,679556800,226478890.4
94118,948318112.6,2266.848924,418342,192322,226020,709004800,239313312.6
94121,889729298.7,2119.462823,419790,193521,226269,658930400,230798898.7
94122,1073753361,2097.047564,512031,242515,269516,790317300,283436061.5
94123,786791290.9,2326.243232,338224,154817,183407,609080700,177710590.9
94124,532860855.9,2372.953098,224556,103785,120771,371313100,161547755.9
94127,528471034.1,2994.339816,176490,87251,89239,397792700,130678334.1
94129,73152000,8649.875842,8457,8457,0,73152000,0
94130,0,0,0,,0,,0
94131,658204906.1,2277.446822,289010,131935,157075,474970700,183234206.1
94132,548784918.4,2890.471497,189860,78009,111851,415414100,133370818.4
94133,478813245.4,1877.382423,255043,99655,155388,343258300,135554945.4
94134,569628474.1,2379.987023,239341,114366,124975,394647200,174981274.1
94158,54752978.16,1010.090731,54206,0,54206,0,54752978.16
94301,0,0,0,,0,,0
94303,409802598.8,2494.932232,164254,74357,89897,278773900,131028698.8
94305,139523224,6068.6018,22991,11109,11882,115412500,24110723.99
94306,0,0,0,0,,0,
94401,595154600.8,2232.379477,266601,113870,152731,393300500,201854100.8
94402,707705042,2999.576333,235935,111796,124139,508080400,199624642
94403,923895513.4,2419.771859,381811,170895,210916,636580100,287315413.4
94404,730963299.8,2333.996315,313181,125615,187566,478674100,252289199.8
94501,885539600,3499.036277,253081,253081,,885539600,
94502,209010100,3190.799035,65504,65504,,209010100,
94503,379429232.8,2718.363897,139580,69361,70219,243666500,135762732.8
94505,415269947.6,3052.176276,136057,67828,68229,242017800,173252147.6
94506,873252631.2,4082.603841,213896,105766,108130,571885800,301366831.2
94507,741234452.1,5322.016213,139277,69235,70042,497381900,243852552.1
94508,78379848.31,3593.263114,21813,9758,12055,50828600,27551248.31
94509,1446192046,2581.112276,560298,270041,290257,815636400,630555646.1
94510,646389419.2,2352.174885,274805,132945,141860,418153400,228236019.2
94511,33904927.99,2512.220509,13496,,13496,,33904927.99
94512,0,0,0,0,0,0,0
94513,1434844510,2784.678359,515264,251795,263469,823466300,611378210
94514,57398972.37,2728.866234,21034,8696,12338,25225300,32173672.37
94515,171900115.4,3098.583475,55477,21265,34212,85209200,86690915.45
94517,352513491.4,3208.605939,109865,52407,57458,215099900,137413591.4
94518,641404937.2,2593.305882,247331,120105,127226,403658200,237746737.2
94519,433340429.2,2495.999339,173614,85604,88010,276222200,157118229.2
94520,649275674.9,2125.288625,305500,138797,166703,400704900,248570774.9
94521,1014638359,2516.37681,403214,197409,205805,635357300,379281059
94523,849400966.2,2534.761061,335101,152172,182929,534743600,314657366.2
94525,94627110.76,2326.362247,40676,19789,20887,65661800,28965310.76
94526,1114790895,3577.588525,311604,153712,157892,739738300,375052594.7
94528,66128794.26,6804.774054,9718,4801,4917,43611000,22517794.26
94530,573939660.7,2192.132171,261818,125814,136004,420185800,153753860.7
94531,1000889904,3005.422678,333028,165594,167434,530683900,470206003.8
94533,1567876683,2593.014655,604654,297384,307270,981023100,586853583.2
94534,937711604.9,2823.038032,332164,163008,169156,575781900,361929704.9
94535,0,0,0,0,0,0,0
94536,1349749177,2307.097913,585042,274412,310630,903095500,446653677.5
94538,1039366281,2175.066246,477855,200136,277719,645427700,393938581.1
94539,1067326906,2583.219556,413177,201488,211689,708732800,358594106.5
94541,1162362708,2210.285665,525888,247701,278187,769969800,392392907.6
94542,328569977.6,2830.084476,116099,52714,63385,215212600,113357377.6
94544,1233359936,2286.650702,539374,253945,285429,820784400,412575535.9
94545,541614500.2,2340.092894,231450,114697,116753,356353300,185261200.2
94546,991048377.7,2402.023267,412589,199094,213495,667325000,323723377.7
94547,528247024.9,2432.188521,217190,105398,111792,341963900,186283124.9
94548,10959637.43,3288.220052,3333,0,3333,0,10959637.43
94549,1019146564,3862.129907,263882,127457,136425,700923600,318222964.2
94550,1243784068,2794.844522,445028,216354,228674,785952600,457831467.9
94551,827472341.5,2432.976509,340107,162941,177166,493964600,333507741.5
94552,329687549.7,2654.91665,124180,59833,64347,212024600,117662949.7
94553,1148622999,2449.658875,468891,227460,241431,718673000,429949999.4
94555,644122409.5,2181.483972,295268,147155,148113,432691200,211431209.5
94556,516987744,3492.877226,148012,71269,76743,366941400,150046344
94558,1643689493,2849.951352,576743,263485,313258,1023496200,620193292.9
94559,613092415.3,2331.717282,262936,126882,136054,402528700,210563715.3
94560,777456266.5,2229.891888,348652,168088,180564,505084700,272371566.5
94561,865332954.5,2704.09788,320008,151890,168118,480871200,384461754.5
94562,8743031.632,5367.115796,1629,,1629,,8743031.632
94563,744590864,4309.748068,172769,85299,87470,528525500,216065364
94564,422585532.7,2445.801208,172780,83404,89376,286576300,136009232.7
94565,1782901694,2480.093052,718885,351287,367598,1048140200,734761493.7
94566,1154486300,3048.27742,378734,180654,198080,738524600,415961700.2
94567,9427547.072,2439.210109,3865,,3865,,9427547.072
94568,1232822223,2374.830912,519120,246464,272656,786612000,446210223.2
94569,0,0,0,0,0,0,0
94571,258146950.7,2171.674524,118870,58235,60635,171265400,86881550.71
94572,186458012.3,2527.798657,73763,37763,36000,121459600,64998412.34
94573,11188889.71,5051.417477,2215,,2215,,11188889.71
94574,290285976,3364.230304,86286,38236,48050,168156500,122129476
94576,16261963.72,3414.227109,4763,2129,2634,10458800,5803163.72
94577,930410559.2,2327.085222,399818,186493,213325,611237800,319172759.2
94578,706352156.4,2185.265648,323234,138028,185206,447963000,258389156.4
94579,429657730.4,2649.591332,162160,78945,83215,258298400,171359330.4
94580,541122575.6,2391.078462,226309,108244,118065,349346100,191776475.6
94582,935540571.1,2592.286298,360894,178022,182872,608510300,327030271.1
94583,972996470,2773.800377,350781,168833,181948,633000500,339995970
94585,622467256.8,2574.008207,241828,116082,125746,375321200,247146056.8
94586,26737485.86,3281.881166,8147,3321,4826,14394900,12342585.86
94587,1197986221,2380.01681,503352,237024,266328,788845000,409141221.4
94588,771628114.2,2739.942597,281622,129561,152061,487651800,283976314.2
94589,594234153.2,2542.471871,233723,113203,120520,391460300,202773853.2
94590,785257650.9,2210.187877,355290,170233,185057,527661300,257596350.9
94591,1205054451,2479.56652,485994,235629,250365,761486300,443568151.3
94595,517236085.1,2367.960981,218431,89785,128646,299783900,217452185.1
94596,589582289.1,2850.757625,206816,83537,123279,380918000,208664289.1
94597,553663334,2249.33813,246145,107157,138988,342444600,211218734
94598,828602606,3205.475543,258496,123271,135225,545014400,283588206
94599,68448789.37,2642.708365,25901,12258,13643,37381400,31067389.37
94601,760984690.6,2091.553884,363837,172158,191679,512057000,248927690.6
94602,644941661,2185.990974,295034,142506,152528,463904800,181036861
94603,538744518,2195.229806,245416,121331,124085,379373700,159370818
94605,966309573.9,2409.839704,400985,195231,205754,679548300,286761273.9
94606,667566308.1,1934.492585,345086,153326,191760,444774500,222791808.1
94607,417721660.7,2006.762495,208157,76325,131832,267001300,150720360.7
94608,525660440.1,1771.003622,296815,114833,181982,338350600,187309840.1
94609,422066507.6,1837.900541,229646,109443,120203,313577300,108489207.6
94610,689327476.5,2106.392497,327255,132281,194974,486574300,202753176.5
94611,1113331743,2820.217807,394768,179465,215303,805201400,308130343.3
94612,217912563.4,1866.057215,116777,32035,84742,133399200,84513363.4
94613,0,0,0,0,0,0,0
94618,446582905.1,2408.675583,185406,90675,94731,327559400,119023505.1
94619,558845031.3,2367.425659,236056,115602,120454,394599100,164245931.3
94621,479524224,2163.234646,221670,103625,118045,333594400,145929824
94702,346450660.2,1923.03789,180158,86643,93515,261471900,84978760.2
94703,391495421,1827.897454,214178,103187,110991,295677600,95817820.96
94704,288078054.2,1680.264886,171448,66611,104837,201868200,86209854.16
94705,368535951.5,2621.781439,140567,66839,73728,284373700,84162251.54
94706,330656724.5,1965.340366,168244,77612,90632,243705900,86950824.55
94707,363487869,2811.850151,129270,64217,65053,278186900,85300969.01
94708,364785208.2,3063.28534,119083,59027,60056,280960400,83824808.15
94709,224425684.5,1908.64135,117584,52555,65029,170952800,53472884.47
94710,133485662.8,1770.578222,75391,34238,41153,95638800,37846862.77
94720,0,0,0,0,0,0,0
94801,493173264.8,2069.348174,238323,114244,124079,351865800,141307464.8
94803,598786052.5,2528.102159,236852,116752,120100,410078200,188707852.5
94804,779691093.5,2156.636896,361531,176177,185354,557341600,222349493.5
94805,292880157.9,2266.909379,129198,63941,65257,212680900,80199257.9
